author,title,full_text
MOT,Как хотел я,"""Как Хотел Я""
Как твои погладить волосы
Встретить взгляд печальных глаз
Ты в моём услышишь голосе
Я хочу тебя сейчас
Пусть каждый звук
Тебя ласкает, словно нежность моих рук
И больше нет разлук
Как хотел я по листве по золотой
Как хотел я целый день бродить с тобой
Взять тебя за руку, нежно обнять
Как хотел я как хотел я
Не опоздать
Лишь звучаньем, лишь альбомами
Дни и ночи занят я
Чтоб живыми и объёмными
Стали песни для тебя
Пусть каждый звук
Тебя ласкает, словно нежность моих рук
И больше нет разлук
Как хотел я по листве по золотой
Как хотел я целый день бродить с тобой
Взять тебя за руку, нежно обнять
Как хотел я как хотел я
Не опоздать
Как хотел я к тебе прямо на колени
Это Муз ТВ, битва поколений
Как хотел, чтобы всё и всегда по плану
Как хотел не обосраться, перепев Билана
Пусть каждый звук
Тебя ласкает, словно нежность моих рук
И больше нет разлук
Как хотел я по листве по золотой
Как хотел я целый день бродить с тобой
Взять тебя за руку, нежно обнять
Как хотел я как хотел я
Не опоздать
Как хотел я
"
MIRAVI,Туман,"(Время — обман, время — песок
Между нами туман
Горькая соль)
Время — обман, время — песок
Между нами туман
Горькая соль
Я тобою обречён
Одиночество во тьме
Моё сердце — ничьё
Недоступен абонент
Вроде я тебя прочёл, вроде
Понял сюжет
Но одного я не учёл, что я
Буду сожалеть
Между нами туман
Неподъёмная ложь
И ты сходишь с ума потому
Что ты ждёшь
Дотянуть бы до утра, но
Бесконечная ночь
Ещё немного табака, чтобы
Снять эту боль
Любовь покинула чат
Недоступна целый час
Ни тебе, ни мне любовь
Она теперь ничья
Я остался жить в мечтах
Ты решила, что пора
Я гоню уже давно, и ты
Мчишь на всех парах
Тебе меня не понять, ты от
Меня отводишь взгляд
Моя вина на весах, тебе
Твою не признать
Этот холодный сентябрь
Это небо в слезах
И даже им нечего сказать
Нам
Время — обман, время — песок
Между нами туман
Горькая соль
Между нами туман низко
По дороге стелится
Ты напомнишь боль
Случайными СМСками
Ты напишешь о том, что
Нам хорошо бы
Встретиться
Просто встретиться?
Слышишь, не верь себе
Смысл вновь потерян
Умоляю, покажись
Да, я здесь был временно
Так, что пока жизнь
И мы друг другу больше
Точно ничего не должны
Моя новая прошивка — ты
Не можешь жить во лжи
И нас в никуда
С тобой
Везёт этот поезд
И мы, наверное, снимем
Ещё счастливое Stories
И на всё, что
Есть у нас с
Тобой, сыграем в совесть
И проиграем друг другу, как
И до этого сто раз
Мой холодный апрель
Горела в огне зима
Ты решила мне набрать, но
Я выжил из ума
Тихо фоном догорал на
Пластинке грустный джаз
И ты во мне умирала — и
Нужно просто подождать в
Этот раз
Время — обман, время — песок
Между нами туман
Горькая соль
Время — обман, время — песок
Между нами туман
Горькая соль
Время
"
OG Buda,Бэйбитрон 2,"Похуй, пиздец, бля (Ху-у)
Е (Buda)
(А) Эй, это пиздец полный
Чтоб стелить на такой бит, у меня слишком слабые лёгкие
Тебе со мной не постелить — ты пришёл со слабыми строчками
Сука, мне тоже нелегко, но я не упускаю возможности
Ид-ид-иди нахуй, белый, ты был замечен с оппами
Деньги — хуйня, с Майотом меряемся сиропами
Если Бог спросит меня: «Actavis или Артём?»
Прости меня, братка, ха, но умрёт MAYOT (Wha'?)
Этот трек звучит как ускоренная голосовуха
Я бы открыл с сиропом что-то типа пивнухи
Я легенда улиц, сука, меня Паша Техник любит
Теперь стою ещё дороже, ты видел мои новые зубы?
Белый нихуя не знает — он ничё не гуглит (Э-э)
В пять раз больше народу, если я появлюсь в клубе (Е)
Белый, сделаешь за двадцатку мне массаж ступней? (А?)
Тронь меня, тебя убьёт Кристина — ты убит сукой
Дал по ебалу оппу пачкой — ты убит суммой
Тру-ту-ту-ту-ту-ту — ты убит дудкой
У меня чёрный юмор — убил негра шуткой
Мне ваще похуй на всё, иди нахуй, мой слушатель!
Ха, у меня панчи, тыщ! (Тыщ!)
Этот биток написали revvboy и DIsshhhh (Wha'?)
Небольшой животик с сипки, так-то я дрыщ (Е)
Мой опп — ёбаный хуесос, знаю, он это услышит
От-от-от-от-отвечаю: в Криде больше улицы, чем в вас
Ты — никто, promospx не снимет про тебя «прайм»
Моё время прямо щас, моё время — прайм-тайм
У меня есть… бля, моя музыка — муай-тай
Бля, чёт тяжело стелить его (Кх-кх), причём именно, блядь, чё-то челюсть не слушается (Фух), р-ра, р-ра, р-ра! (Ух)
Иди нахуй, белый, я делаю настоящий рэп, а ты косплеишь (Фу)
Каждый день работаю, каждый день на смене
Фэйк эмси боится студии — он на измене (Ха-ха)
Белые проебались — они на хате на фене (А)
Белый — уёбище, ставится мефом по вене (Бля)
Это полная хуйня, иди лучше делай деньги, поверь мне
Белый выглядит как торч, не вызывает доверия
Перевёрнутая восьмерка — у меня бесконечная энергия
Сделал себя сам — заслужил то, что лега я (Ха)
Малым я стелил рэп (Е-е), не играл в LEGO я
Щас бы тоже грустил, если бы был Лерой я
Пф (Пф), двести шисят BPM
Я с Детройтом ассоциируюсь больше, чем Eminem (Ха)
Бро — бычара в маске, они подумали, со мной RAM (А!)
Говорю цитаты в микро — чувствую себя как Стэтхем (Е-е)
С улыбкой вспоминаю, ког—, а-а-а! (По!)
С улыбкой вспоминаю времена, когда был бедным (Е)
Эмси проебались — они сипуют по миллилетрам
Точнее, я хотел сказать по миллилитрам
Молодой Buda — G.O.A.T., а чё, не видно?
Белые проебались — это видно на видео
Рифмуют только на глаголы, будто не знают существительные
Я чувствительный, не могу с ними факаться — у них хламидии
"
Mary Gu,Сокровище,"Разбросаны узорами по карте города
Мы поездами скорыми несёмся кто куда
Ну, надо же, как здорово, что среди помех
Однажды я услышала твой смех
Откуда в тебе всёб что я так искала?
И море, и ветер и дикие скалы
И в горе, и в радость накроет усталость
Но я буду рядом во что бы то ни стало
Ведь мне...
Мне без тебя теперь никак вообще
Ведь ты моё главное сокровище
В мире много потрясающих вещей
Но быть с тобой - из них самое стоящее
Страшно представить, что было бы если
Меня не вели к тебе все мои песни
Нет на земле ощущения чудесней
Чем знать, что ты есть
Знать, что ты здесь
Откуда в тебе эта редкая сила
Делать меня абсолютно счастливой?
Пока в моём сердце искра не остыла
Я буду твоим самым надёжным тылом
Ведь мне...
Мне без тебя теперь никак вообще
Ведь ты моё главное сокровище
В мире много потрясающих вещей
Но быть с тобой - из них самое стоящее
Мне без тебя теперь никак вообще
Ведь ты моё главное сокровище
В мире много потрясающих вещей
Но быть с тобой - из них самое стоящее
Разбросаны узорами по карте города
Мы поездами скорыми несемся кто куда
"
Тося Чайкина,Земля,"Спи, я завтра зайду за тобою после семи
Я зимнее солнце, и я появляюсь всё реже и реже
Мне так больно смотреть, как красиво лежишь ты на теле реки
Ты боишься меня ведь мои поцелуи, как нож тебя режут
Хэ-эй, Земля-а-а
Залей меня-а-а
Снегом талы-ым
Такая любовь убьёт мир
Спи, я завтра зайду за тобою с первым лучом
Я хочу быть слабее, хочу быть с тобою всё чаще и ближе
Я тебя обожгy, но я всё же прижмусь своим жарким плечом
К белым снежным губам и уже никогда, никогда не увижу
Хэ-эй, Земля-а-а
Залей меня-а-а
Снегом талы-ым
Такая любовь убьёт мир
(Хэ-эээ-э-эээ-э-эээ-ээ-э)
(Хэ-эээ-э-эээ-э-эээ-ээ-э)
Хэ-эй, Земля-а-а
Залей меня-а-а
Снегом талы-ым
Хэ-эй, Земля-а-а
Залей меня-а-а
Снегом талы-ым
Такая любовь убьёт мир
"
EIGHTEEN,SHAR,"Я чувствую, когда ты танцуешь классно так
И если мы в пути, мы не слышим голоса
Но эта ночь нежна, и мы не можем дышать
Искусственным дыханием, ты мой земной шар
Я-я чувствую, когда
Ты ко мне неровно дышишь
В сердце ломятся security, просят сделать потише (я чувствую)
Никого вокруг не вижу
Нам для погружения не нужен Apple Vision
Я хочу с тобой напиться джина с San Pellegrino
И наутро расствориться, как таблетка Аспирина
Кажется, мы горим (горим), придётся спасаться (спасаться)
Срочная эвакуация
Я чувствую, когда ты танцуешь классно так
И если мы в пути, мы не слышим голоса
Но эта ночь нежна, и мы не можем дышать
Искусственным дыханием, ты мой земной шар
Я чувствую, когда
Я чувствую, когда ты танцуешь классно так, так, так
Чувствую, чувствую
Я-я чувствую
В зеркале боковом удаляемся от всех
Оставим их на потом (я чувствую)
Музыка на весь салон
Подкури мне сигарету и выкини телефон
Я хочу с тобой напиться джина с San Pellegrino
И наутро расствориться, как таблетка Аспирина
Кажется, мы горим, придётся спасаться (спасаться)
Срочная эвакуация
Я чувствую, когда ты танцуешь классно так
И если мы в пути, мы не слышим голоса
Но эта ночь нежна, и мы не можем дышать
Искусственным дыханием, ты мой земной шар
Я чувствую, когда
Я чувствую, когда ты танцуешь классно так, так, так
Чувствую, чувствую
Я-я чувствую, когда
Я чувствую, когда ты танцуешь классно так, так, так
Чувствую, чувствую
Я-я чувствую, когда
"
дора,Зависима,"Я помню, как ты взял моё сердце на прицел
Дарил цветы и сыпал комплименты каждый день
Но больше ты не говоришь, что лучше меня нет
Я чувствую, что ты ко мне немного охладел
Обними и прижми очень-очень сильно
И скажи, что без меня жизнь не имеет смысла
Ты молчишь, я молчу — почему так вышло?
Где искра в твоих глазах, и где твоя улыбка?
Я зависима от тебя а-а
Я помешана, я схожу с ума
Только сделай шаг, перейдём на бег
Я зависима очень, а ты нет
Наша связь теперь приносит только боль о-о
Я устала быть комфортной и простой о-о
Чувство будто я твоя, а ты не мой о-о
Я дарю слова любви, а ты немой о-о
Это вредная привычка — быть с тобой вдвоём
Отказаться всё сложнее с каждым новым днём
Я когда-нибудь скажу тебе, ну а сейчас
Обману себя ещё один последний раз
Я зависима от тебя а-а
Я помешана, я схожу с ума
Только сделай шаг, перейдём на бег
Я зависима очень, а ты нет
Зависима, зависима, зависима, зависима
Я зависима, зависима, зависима, зависима
"
nkeeei,I don't care,"Cause I don't care, yeah
Когда моя рука в твоей руке, yeah
Моя рука в твоей руке
Мы пара навека, не на weekend, yeah
Клава и nkeeei
Ты - мир, а я твой пятый элемент
(Блонды на фите)
Все знают наш стиль - Louis в отражении
LV - значит любовь, на вечность умножение
Неделимы, как детали в лого CHANEL
Украшение - твои губы на шее
Переверну твой мир
Переведу часы
Time time
Чтобы нам никуда
Чтобы побыть двоим
Знай знай
Не выходишь из головы
Даже перекурить
Тебе так идёт быть моим
Я знаю
Cause I don't care, yeah
Когда моя рука в твоей руке, yeah
Мы пара навека, не на weekend, yeah
Ты - мир, а я твой пятый элемент
(Ты любишь меня или нет?)
Cause I don't care, yeah
Когда моя рука в твоей руке, yeah
Мы пара на века, не на weekend, yeah
Ты - мир, а я твой пятый элемент
(Блонды на фите)
Эй, ну почему?
Ну почему ты не здесь щас
Ну почему твои вещи
Заполнили весь мой mansion?
Почему моё сердце
Всё бьется о тебе чаще
Все говорят про коммерцию
Но мы самые настоящие
Нравится твой взгляд, твой зад
Когда ты ко мне так близко
Люблю тебя любой
Уставшей, милой и капризной
В голове беспорядок
Ты гуляешь там как призрак
Кажется, я так болен
И, детка, ты - это признак
Cause I don't care, yeah
И пусть наша любовь для всех протест
Детка, не слушай их
Yeah I don't care, yeah
Мы - пара ненормальных с Pinterest
Держи меня за руку
Cause I don't care, yeah
Когда моя рука в твоей руке, yeah
Мы пара на века, не на weekend, yeah
Ты - мир, а я твой пятый элемент
(Ты любишь меня или нет?)
Cause I don't care, yeah
Когда моя рука в твоей руке, yeah
Мы пара на века, не на weekend, yeah
Ты - мир, а я твой пятый элемент
(Блонды на фите)
(Блонды на фите)
Cause I don't care
"
Gulyashik,Мама удалила роблокс,"Мальчик примерно 12-ти лет
Сидел в туалете, играл в свой планшет (ага)
В Roblox хотел купить себе скин (скин)
Чтоб пред друзьями казаться крутым
Ему написал ""Андрей228""
Robux'ы подарит, ничего не попросит (да)
Только лишь надо сделать два фото
Карточку папы с двух оборотов
Мальчик вскочил, даже попу не вытер
Из кошелька он кредитку похитил
Сфоткал, как нужно, отправил Андрюхе
Столько баксов не дарят даже на днюхе
Андрюха сказал, что сейчас всё отправит
Ждать свой подарок он не заставит
Время прошло — ничего нет
Андрюха не пишет ни ""пока"", ни ""привет""
Roblox удалила мне мама
Поздно — ремень достал папа
Может, донатить не надо?
По 100 тыщ с кредитки отца
Roblox удалила мне мама
Поздно — ремень достал папа
Может, донатить не надо?
Ремень слишком длинный — не видно конца
Прошу тебя, мама, ты Roblox не трожь
Не трогал я папины деньги, серьёзно
Ты мне не веришь? Ты думаешь, ложь?
PIN-код лишь отправил: я думал, так можно
Сынок, всё нормально, планшет сюда дай
Я Roblox сотру к чёртовой бабке
100 тыщ на донат — ну, это, прям, край
Ремень щас достанет твой папка
Он ночью лежал, подушка в слезах
""Почему же со мной поступили вот так?""
За дверью услышал он чей-то шаг
Это не мама — это был старший брат
Скажи, почему ты грустишь?
Может, Roblox удалила тебе мама?
Расскажи, почему ты не спишь?
Без Roblox'а жизнь на вкус, словно мрамор
Roblox удалила мне мама
Поздно — ремень достал папа
Может, донатить не надо?
По 100 тыщ с кредитки отца
Roblox удалила мне мама
Поздно — ремень достал папа
Может, донатить не надо?
Ремень слишком длинный — не видно конца
Roblox удалила мне мама
Поздно — ремень достал папа
Может донатить не надо?
Ремень слишком длинный — не видно конца
"
Noize MC,Светлая полоса,"В пепельной пустыне полярная ночь
Холодная зола. Остывшая печь
На грифеле углём накарябанный скетч
Будто на глазах в пять слоёв чёрный скотч
Каждый зрачок ищет хоть один луч
Каждому телу охота прилечь
Но ты сам знаешь, что это может повлечь —
Так что вставай, не канючь
Говорят, что у правой ноги длиннее шаги
И мы нарезаем круги
А я говорю — мы дойдём вопреки
Там, впереди — огоньки
Их просто не видно пока
Пока руку упавшего ищет на ощупь рука
Пока копит упавший резерв для рывка
Но я верю в то, что светлая будет полоса
В этой тьме, что беспросветна, как снег на полюсах
Стебли новые из пепла пробьются к небесам
На листве в лучах рассветных заблестит роса
Да, я верю в то, что светлая будет полоса
В этой тьме, что беспросветна, как снег на полюсах
Стебли новые из пепла пробьются к небесам
На листве в лучах рассветных заблестит роса
Нам умение видеть придётся по новой постичь
Как младенцу – хожденье и речь
Нам придётся дойти и достичь
А этой ночи — пройти и истечь
Она тоже нас топчет в ответ своей грязной пятой
Но я не уступлю ей ни маленькой чёрточки, ни запятой
Я вперёд иду как заводной
И эти ребята со мной —
Если там кто-то спросит
Там, где скоро блеснёт под наш клич хоровой
Горизонта рассветного проседь
Где мы тени отбросим опять
Как доставшую в край неудобную ношу...
Поднимайся скорей, твою мать
Я тебя здесь не брошу!
Светлая будет полоса
В этой тьме, что беспросветна, как снег на полюсах
Стебли новые из пепла пробьются к небесам
На листве в лучах рассветных заблестит роса
Да, я верю в то, что светлая будет полоса
В этой тьме, что беспросветна, как снег на полюсах
Стебли новые из пепла пробьются к небесам
На листве в лучах рассветных заблестит роса
Да, я верю в то, что светлая будет полоса
В этой тьме, что беспросветна, как снег на полюсах
Стебли новые из пепла пробьются к небесам
На листве в лучах рассветных заблестит роса
Да, я верю в то, что светлая будет полоса
В этой тьме, что беспросветна, как снег на полюсах...
"
